"STATISTIC","Statistic Label","C02076V03371","Age Group","C02199V02655","Sex","TLIST(A1)","CensusYear","UNIT","VALUE"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1926","1926","Number","2971992"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1936","1936","Number","2968420"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1946","1946","Number","2955107"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1951","1951","Number","2960593"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1961","1961","Number","2818341"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1966","1966","Number","2884002"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1971","1971","Number","2978248"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1979","1979","Number","3368217"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1981","1981","Number","3443405"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1986","1986","Number","3540643"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1991","1991","Number","3525719"
"CD211","Enumerated Population","-","All ages","-","Both sexes","1996","1996","Number","3626087"
"CD211","Enumerated Population","-","All ages","-","Both sexes","2002","2002","Number","3917203"
"CD211","Enumerated Population","-","All ages","-","Both sexes","2006","2006","Number","4239848"
"CD211","Enumerated Population","-","All ages","-","Both sexes","2011","2011","Number","4588252"
"CD211","Enumerated Population","-","All ages","1","Male","1926","1926","Number","1506889"
"CD211","Enumerated Population","-","All ages","1","Male","1936","1936","Number","1520454"
"CD211","Enumerated Population","-","All ages","1","Male","1946","1946","Number","1494877"
"CD211","Enumerated Population","-","All ages","1","Male","1951","1951","Number","1506597"
"CD211","Enumerated Population","-","All ages","1","Male","1961","1961","Number","1416549"
"CD211","Enumerated Population","-","All ages","1","Male","1966","1966","Number","1449032"
"CD211","Enumerated Population","-","All ages","1","Male","1971","1971","Number","1495760"
"CD211","Enumerated Population","-","All ages","1","Male","1979","1979","Number","1693272"
"CD211","Enumerated Population","-","All ages","1","Male","1981","1981","Number","1729354"
"CD211","Enumerated Population","-","All ages","1","Male","1986","1986","Number","1769690"
"CD211","Enumerated Population","-","All ages","1","Male","1991","1991","Number","1753418"
"CD211","Enumerated Population","-","All ages","1","Male","1996","1996","Number","1800232"
"CD211","Enumerated Population","-","All ages","1","Male","2002","2002","Number","1946164"
"CD211","Enumerated Population","-","All ages","1","Male","2006","2006","Number","2121171"
"CD211","Enumerated Population","-","All ages","1","Male","2011","2011","Number","2272699"
"CD211","Enumerated Population","-","All ages","2","Female","1926","1926","Number","1465103"
"CD211","Enumerated Population","-","All ages","2","Female","1936","1936","Number","1447966"
"CD211","Enumerated Population","-","All ages","2","Female","1946","1946","Number","1460230"
"CD211","Enumerated Population","-","All ages","2","Female","1951","1951","Number","1453996"
"CD211","Enumerated Population","-","All ages","2","Female","1961","1961","Number","1401792"
"CD211","Enumerated Population","-","All ages","2","Female","1966","1966","Number","1434970"
"CD211","Enumerated Population","-","All ages","2","Female","1971","1971","Number","1482488"
"CD211","Enumerated Population","-","All ages","2","Female","1979","1979","Number","1674945"
"CD211","Enumerated Population","-","All ages","2","Female","1981","1981","Number","1714051"
"CD211","Enumerated Population","-","All ages","2","Female","1986","1986","Number","1770953"
"CD211","Enumerated Population","-","All ages","2","Female","1991","1991","Number","1772301"
"CD211","Enumerated Population","-","All ages","2","Female","1996","1996","Number","1825855"
"CD211","Enumerated Population","-","All ages","2","Female","2002","2002","Number","1971039"
"CD211","Enumerated Population","-","All ages","2","Female","2006","2006","Number","2118677"
"CD211","Enumerated Population","-","All ages","2","Female","2011","2011","Number","2315553"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1926","1926","Number","55391"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1936","1936","Number","53606"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1946","1946","Number","66081"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1951","1951","Number","63557"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1961","1961","Number","62772"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1966","1966","Number","63589"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1971","1971","Number","64886"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1979","1979","Number","71353"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1981","1981","Number","73379"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1986","1986","Number","61172"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1991","1991","Number","53044"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","1996","1996","Number","48854"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","2002","2002","Number","54499"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","2006","2006","Number","61076"
"CD211","Enumerated Population","200","Under 1 year","-","Both sexes","2011","2011","Number","72410"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1926","1926","Number","28084"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1936","1936","Number","27152"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1946","1946","Number","33798"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1951","1951","Number","32630"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1961","1961","Number","32137"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1966","1966","Number","32514"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1971","1971","Number","33276"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1979","1979","Number","36171"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1981","1981","Number","37717"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1986","1986","Number","31315"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1991","1991","Number","27390"
"CD211","Enumerated Population","200","Under 1 year","1","Male","1996","1996","Number","25231"
"CD211","Enumerated Population","200","Under 1 year","1","Male","2002","2002","Number","27805"
"CD211","Enumerated Population","200","Under 1 year","1","Male","2006","2006","Number","31273"
"CD211","Enumerated Population","200","Under 1 year","1","Male","2011","2011","Number","36850"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1926","1926","Number","27307"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1936","1936","Number","26454"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1946","1946","Number","32283"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1951","1951","Number","30927"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1961","1961","Number","30635"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1966","1966","Number","31075"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1971","1971","Number","31610"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1979","1979","Number","35182"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1981","1981","Number","35662"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1986","1986","Number","29857"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1991","1991","Number","25654"
"CD211","Enumerated Population","200","Under 1 year","2","Female","1996","1996","Number","23623"
"CD211","Enumerated Population","200","Under 1 year","2","Female","2002","2002","Number","26694"
"CD211","Enumerated Population","200","Under 1 year","2","Female","2006","2006","Number","29803"
"CD211","Enumerated Population","200","Under 1 year","2","Female","2011","2011","Number","35560"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1926","1926","Number","867879"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1936","1936","Number","820394"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1946","1946","Number","823007"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1951","1951","Number","854810"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1961","1961","Number","877259"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1966","1966","Number","900396"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1971","1971","Number","931152"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1979","1979","Number","1029908"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1981","1981","Number","1043729"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1986","1986","Number","1024701"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1991","1991","Number","940574"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","1996","1996","Number","859424"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","2002","2002","Number","827428"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","2006","2006","Number","864449"
"CD211","Enumerated Population","215","0 - 14 years","-","Both sexes","2011","2011","Number","979590"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1926","1926","Number","441751"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1936","1936","Number","416433"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1946","1946","Number","418984"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1951","1951","Number","436447"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1961","1961","Number","448740"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1966","1966","Number","459406"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1971","1971","Number","475786"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1979","1979","Number","527030"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1981","1981","Number","535409"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1986","1986","Number","525646"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1991","1991","Number","482838"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","1996","1996","Number","441452"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","2002","2002","Number","424044"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","2006","2006","Number","443044"
"CD211","Enumerated Population","215","0 - 14 years","1","Male","2011","2011","Number","501189"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1926","1926","Number","426128"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1936","1936","Number","403961"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1946","1946","Number","404023"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1951","1951","Number","418363"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1961","1961","Number","428519"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1966","1966","Number","440990"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1971","1971","Number","455366"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1979","1979","Number","502878"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1981","1981","Number","508320"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1986","1986","Number","499055"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1991","1991","Number","457736"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","1996","1996","Number","417972"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","2002","2002","Number","403384"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","2006","2006","Number","421405"
"CD211","Enumerated Population","215","0 - 14 years","2","Female","2011","2011","Number","478401"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1926","1926","Number","232322"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1936","1936","Number","214660"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1946","1946","Number","228684"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1951","1951","Number","249275"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1961","1961","Number","238018"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1966","1966","Number","252342"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1971","1971","Number","250769"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1979","1979","Number","272122"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1981","1981","Number","279625"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1986","1986","Number","262906"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1991","1991","Number","220699"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","1996","1996","Number","201540"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","2002","2002","Number","223131"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","2006","2006","Number","241176"
"CD211","Enumerated Population","225","1 - 4 years","-","Both sexes","2011","2011","Number","283919"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1926","1926","Number","118089"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1936","1936","Number","109213"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1946","1946","Number","116751"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1951","1951","Number","127601"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1961","1961","Number","121293"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1966","1966","Number","128798"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1971","1971","Number","128570"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1979","1979","Number","139466"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1981","1981","Number","143313"
"CD211","Enumerated Population","225","1 - 4 years","1","Male","1986","1986","Number","135103"
