Year,"Crude Birth Rate (No. of known live births per 1,000 populatioin)",Male Known Births,Female Known Births
1981,16.8,44610,42141
1982,16.4,44351,41769
1983,15.6,42836,40457
1984,14.4,39943,37354
1985,14,39296,36830
1986,13,36917,34703
1987,12.6,35979,33979
1988,13.4,39046,36366
1989,12.3,35815,33806
1990,12,35115,32616
1991,12,35197,33084
1992,12.3,36700,34249
1993,12,36505,33946
1994,11.9,37278,34368
1995,11.2,35566,33071
1996,9.9,32664,30627
1997,9.1,30880,28370
1998,8.1,27718,25259
1999,7.8,26712,24569
2000,8.1,28280,25854
2001,7.2,25160,23059
2002,7.1,24955,23254
2003,7,24406,22559
2004,7.3,25827,23969
2005,8.4,29880,27218
2006,9.6,34595,31031
2007,10.2,37448,33427
2008,11.3,41928,36894
2009,11.8,43966,38129
2010,12.6,47366,41218
2011,13.5,51286,44165
2012,12.8,48777,42781
2013,8,29806,27278
2014,8.6,32262,30043
2015,8.2,31218,28660
2016,8.3,31724,29132
2017,7.6,29236,27312
2018,7.2,27896,25820
2019,7,27695,25161
2020,5.8,22463,20568
